Name,Website,Generic Contact,Direct Contact,Instagram,Imprint,Logo,Publications
Lorenz Books,,,,,Anness Publlishing,,
Lunwerg Editores,,,,,,,
Luster,,,,,,,
Mage Publishers,,,,,,,
Magic Cat Publishing,,,,,,,
Magica,,,,,,,
Mango Publishing,,,,,,,
Marabout,,,,,,,
McSweeney's,,,,,,,
Melville House Publishing,,,,,,,
Meze Publishing,,,,,,,
Michael Joseph,,,,,Penguin Books,,
Mitchell Beazley,,info-mb@mitchell-beazley.co.uk,,,Octopus,,"Brazilian Food,Simple Spice Vegetarian,Mildreds Vegan Cookbook"
Modern Books,https://www.modern-books.com/,,,modern.books,Elwin Street,,
Monacelli Press,,,,,,,
Mondadori Electa,,,,,,,
Mudlark,,,,,Harper Collins,,
Murdoch Books,,,,,,,"Chinese-ish,Venezia"
Nicholas Gill,,,,,,,
Nourish Books,,,,,,,
Octopus,https://www.octopusbooks.co.uk/,info@octopusbooks.co.uk,,octopus_books_,Hachette,,
Oneworld Publications,,,,,,,
Orion Books,,,,,Hachette,,
Other Criteria Books,,,,,,,
Oxmoor House,,,,,,,
Page Street Publishing Co.,,,,,,,
Pan Macmillan,,,,,,,
Particular Books,,,,,Penguin Books,,
Pavilion,,,,,,,"Sardine,Kimchi"
Penguin,,,,,,,
Penguin Random House,,,,,,,
Phaidon,https://phaidon.com/,,,phaidonsnaps,,,"The Kitchen Studio,Tuscany,Never Trust a Skinny Italian Chef,Puglia"
Piatkus,,,,,"Little, Brown Book Group",,
Picador,,,,,,,
PIE International,,,,,,,
Pisces Books,,,,,,,
Plum,,,,,Pan Macmillan,,Yiayia Next Door
Pop Press,,,,,Penguin Books,,
Preface Publishing,,,,,Penguin Random House,,Mezzogiorno
Prestel,,,,,Penguin Random House,,Let's Go Nuts
Princeton Architectural Press,,,,,,,Mamacita
Profile Books,,,,,,,
PublicAffairs,,,,,Perseus Books Group,,
Pyramid,,,,,Octopus,,
Quadrille,,,,,Hardie Grant,,"The Curry Guy: BBQ,Copenhagen Food,Chinese Unchopped,Posh Rice"
Quarry Books,,,,,Quarto Knows,,
Quarto Knows,,marketinguk@quarto.com,,,,,
Quercus Books,,,,,Hodder & Stoughton,,
Quirk Books,,,,,,,
Random House,,,,,,,"Flour Power,Mi Cocina"
Rare Bird Books,,,,,,,
Reaktion Books,,,,,,,
Rizzoli,,,,,,,
Robinson,,,,,"Little, Brown Book Group",,
Rockridge Press,,,,,,,
Rodale Books,,,,,Crown Publishing Group,,
Roli Books,,,,,,,
Roost Books,,,,,Shambhala Publications,,
Running Press,,,,,Hachette,,
Rupa Publications,,,,,,,
Ryland Peters & Small,,,,,,,
S&S/Simon Element,,,,,,,
Sasquatch Books,,,,,Penguin Random House,,
Saturday Boy Books,,,,,,,
Schocken Books,,,,,,,
Scribble,https://www.scribblekidsbooks.com/,,,scribblekidsbooks,Scrible Publications,,Off to The Market
Scribner Books,,,,,Simon & Schuster,,An Everlasting Meal
Self Published,,,,,,,
SendPoints,,,,,,,
Serif,,,,,,,
Serpent's Tail,,,,,Profile Books,,Eat Up
Seven Dials,,,,,Orion Books,,
Shambhala Publications,,,,,,,
Short Books,,,,,,,
Short Stack Editions,,,,,,,
Shuhari Initiative,,,,,Penguin Random House,,
Simon & Schuster,,,,,,,Indian Cooking Class
Skyhorse Publishing,,,,,,,
Smith Street Books,,,,,Abrams & Chronicle Books,,"Kolkata,Ramen-topia,Taco-topia,Comida Mexicana,Street Food Vietnam,Islas"
Springer,,,,,,,
Spruce,,,,,Octopus,,
Square Peg,,,,,Penguin Books,,"The Smitten Kitchen Cookbook,Caravan"
St Martin's Press,,,,,,,
Sterling Books,,,,,,,
"Stewart, Tabori & Chang Inc",,,,,Abrams,,
Südwest Verlag,,,,,,,
Suhler Verlagsges,,,,,,,
Tails,,,,,,,
Tana éditions,,,,,,,
Taschen,,,,,,,
Ten Speed Press,https://crownpublishing.com/archives/imprint/ten-speed-press,,,tenspeedpress,Crown Publishing Group,,"Amaro,Masala,Thank You for Smoking"
Tezeta Press,,,,,,,
Thames & Hudson,,,,,,,Herbarium
The British Library,,,,,,,
The Do Book Company,,,,,,,
The Experiment,,,,,,,Vegan Africa
The History Press,,,,,,,
The School of Life Press,,,,,,,
Thorsons,,,,,Pavilion Books,,
Tim Duggan Books,,,,,Crown Publishing Group,,
TouchWood Editions,,,,,,,
Trapeze Books,,,,,W&P,,
Unbound,,,,,,,
University of Toronto Press,,,,,,,
Ventil Verlag,,,,,,,
Vermilion,,,,,,,
Viking Books,,,,,Penguin Random House,,
Vintage,,,,,Penguin Random House,,
Voracious,,,,,,,Field Notes for Food Adventure
Voyager Books,,,,,Pavilion Books,,
W. W. Norton & Company,,,,,,,Bread Head
W&N,,,,,Orion Books,,
W&P,,,,,,,
Welcome Enterprises,,,,,,,
Weldon Owen,,,,,,,
WH Allen,,,,,Penguin Books,,
White Lion Pubilshing,,,,,Quarto Knows,,
Wiley,,,,,,,
William Morrow,,,,,Harper Collins,,
Workman Publishing,,,,,,,
Yellow Kite Books,https://www.yellowkitebooks.co.uk/,,,yellowkitebooks,Hodder & Stoughton,,
Harper Design,,,,,,,Sweet Paris
